Expected	Predicted
5	5
7	7
7	5
7	5
5	5
8	5
7	5
5	5
7	7
5	5
5	5
8	7
7	5
5	5
5	5
5	5
5	5
7	5
7	5
7	5
7	7
7	5
5	5
7	7
5	5
5	5
5	5
5	5
5	5
7	5
8	7
5	5
7	5
7	7
5	5
5	5
5	5
7	7
5	5
5	5
7	5
7	5
7	5
7	5
5	5
7	5
7	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	7
5	5
8	7
7	5
7	5
8	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
7	7
5	5
5	5
5	5
5	5
7	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
8	7
8	7
5	5
7	7
7	7
7	7
5	7
7	7
5	5
5	5
5	5
5	5
5	7
8	7
5	5
5	5
5	5
5	5
5	5
7	7
7	7
5	5
7	7
5	5
5	5
5	5
7	7
7	7
7	7
7	7
7	7
5	5
7	7
5	5
7	7
5	5
5	5
5	5
5	5
7	5
7	7
5	5
7	5
5	5
5	5
7	7
5	5
7	7
7	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
5	5
5	5
7	7
7	7
5	5
5	5
7	7
5	5
7	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	5
5	5
5	5
7	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	5
7	7
7	7
5	5
5	5
5	5
5	5
8	7
8	7
8	7
8	7
8	7
5	5
7	5
8	7
5	5
5	5
5	5
5	5
7	7
5	5
5	5
5	5
7	7
5	5
7	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
5	5
5	5
5	7
5	5
5	5
5	5
5	5
7	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
5	5
7	7
5	5
5	5
5	5
5	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
5	5
5	5
5	5
7	7
5	5
5	5
5	5
7	7
7	7
7	7
7	7
7	7
5	5
5	5
7	7
7	7
5	5
7	5
5	5
5	5
5	5
7	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	7
7	5
5	7
5	5
7	7
7	5
7	5
5	5
5	5
7	7
7	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	5
5	5
7	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
7	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
7	5
7	7
7	7
7	7
8	7
7	7
7	5
5	5
5	5
5	5
7	7
5	5
5	5
5	5
5	5
7	7
5	5
7	7
7	7
5	5
7	5
5	5
5	5
5	5
5	5
5	5
5	5
8	8
5	5
5	5
5	5
5	5
5	5
8	7
5	7
5	5
5	5
7	7
7	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
5	5
8	7
8	7
5	5
8	7
8	7
7	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
5	5
5	5
5	5
5	5
7	5
5	5
5	5
5	5
5	5
5	5
7	7
7	5
5	5
7	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
5	5
7	7
7	7
7	7
5	5
5	5
7	7
8	8
5	5
5	5
8	8
7	7
5	5
5	5
7	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
7	7
7	7
5	5
7	7
7	7
5	5
5	5
5	5
5	5
7	7
5	7
5	7
5	5
5	5
5	5
5	5
5	5
7	8
5	5
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
5	5
5	5
7	7
5	5
5	5
5	5
7	7
5	5
7	7
7	7
5	5
5	5
7	7
5	5
5	7
7	7
7	7
7	7
7	7
5	5
5	5
7	7
7	7
5	7
5	5
7	7
7	7
5	5
7	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
7	5
5	5
5	5
5	5
7	7
5	5
5	5
5	5
7	7
7	7
8	7
7	7
5	5
7	7
7	7
5	5
7	7
7	7
7	5
7	5
7	5
5	5
5	5
7	7
5	5
5	5
7	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
7	7
5	5
7	7
5	5
5	5
5	5
7	7
7	5
5	5
7	7
5	5
7	7
8	8
8	8
8	5
5	5
5	5
5	5
5	5
5	5
5	5
7	5
7	7
7	7
8	7
8	7
8	7
7	7
5	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
8	7
7	7
5	5
7	7
7	7
5	5
5	5
8	8
8	7
5	5
5	5
7	7
7	7
5	5
7	7
7	7
5	5
5	5
7	7
5	5
5	5
5	5
7	7
7	7
5	5
5	5
5	5
7	7
7	7
7	7
5	5
7	7
7	7
5	5
5	5
5	5
5	5
5	5
5	7
7	7
7	7
8	7
7	7
7	7
7	7
5	5
7	7
7	7
8	8
7	8
5	5
5	5
5	5
7	7
5	5
7	7
7	7
5	5
5	7
8	8
5	5
7	8
7	7
5	5
5	5
5	5
5	7
5	5
7	7
5	5
7	7
5	5
5	5
5	5
5	5
7	7
5	5
7	7
5	7
8	8
5	5
8	8
7	7
7	7
8	8
8	8
5	5
5	5
5	5
8	8
8	8
5	5
5	5
8	8
8	8
5	5
5	5
5	5
5	5
7	7
5	7
5	5
7	7
7	7
5	5
7	7
5	5
8	5
5	5
5	5
5	5
7	7
7	8
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
8	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	8
5	5
8	7
5	5
7	7
5	5
8	7
8	7
5	5
7	7
5	5
5	5
5	7
5	5
5	5
7	5
5	5
5	5
5	7
5	5
5	5
5	5
8	7
5	5
5	5
5	5
8	7
8	7
7	7
5	7
5	5
7	7
5	5
5	5
5	7
5	7
5	5
7	8
7	8
7	7
7	7
7	7
5	5
7	7
7	7
7	7
7	7
5	5
5	5
7	7
5	5
7	7
7	7
7	7
5	5
5	5
5	7
5	5
7	7
5	5
5	5
5	5
7	7
5	5
7	7
5	5
7	7
7	7
5	5
7	7
7	7
7	7
8	7
8	7
8	7
5	5
5	5
7	7
7	7
8	7
5	5
7	7
5	5
5	5
7	7
7	7
7	7
7	8
7	8
7	7
5	5
7	7
7	7
5	7
5	5
5	5
5	5
5	7
5	5
7	7
5	5
7	7
7	7
5	5
7	7
5	5
7	7
7	7
7	7
7	7
5	5
7	7
7	7
8	7
8	7
5	5
5	5
7	7
8	7
5	5
5	5
7	7
7	7
7	7
5	7
8	7
7	7
5	5
5	5
7	7
7	7
7	7
7	7
5	5
5	5
8	8
5	5
7	7
5	5
5	5
5	5
7	7
5	5
8	8
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
5	5
5	5
7	5
7	7
5	5
7	5
5	5
7	7
5	5
7	5
7	7
7	7
7	5
7	7
7	7
7	8
5	5
8	8
5	5
7	7
7	7
7	7
8	8
5	5
7	7
8	7
5	5
5	5
5	5
5	7
5	5
5	5
7	5
7	5
7	7
7	7
5	5
8	7
8	8
5	5
5	5
5	7
7	7
5	5
5	5
5	5
5	7
5	7
7	7
5	5
8	8
7	7
8	8
7	7
7	7
5	5
5	5
5	5
7	7
7	7
8	8
7	7
5	5
5	5
8	7
8	8
8	7
8	8
7	7
7	8
8	7
5	5
8	8
7	7
8	8
7	5
8	5
7	7
7	7
7	7
7	7
7	7
7	5
7	7
5	5
7	7
7	7
7	7
7	7
5	5
7	7
7	7
7	7
7	7
5	7
7	8
5	5
7	7
5	5
5	5
7	5
5	5
5	5
5	5
5	5
5	5
7	8
7	7
5	5
5	5
7	7
7	7
5	5
7	7
7	7
5	5
7	7
7	7
7	7
7	7
7	7
5	5
7	7
7	7
7	7
7	7
7	8
7	7
7	7
7	7
5	5
5	5
5	5
5	5
5	5
5	7
7	5
7	8
7	5
7	7
5	5
5	7
5	5
7	5
7	7
7	5
7	7
7	7
7	5
7	8
5	5
7	8
7	7
8	8
7	7
8	8
8	8
8	8
8	8
7	7
8	8
5	7
7	7
7	7
8	7
7	7
5	5
7	7
5	5
7	7
8	7
7	7
7	7
5	5
5	5
8	7
7	7
7	7
7	7
5	5
7	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
5	5
7	7
7	7
7	7
7	7
5	5
5	5
5	5
5	5
7	7
7	7
7	7
7	7
7	7
7	7
7	7
5	7
5	5
7	7
5	5
5	5
5	5
8	8
5	5
5	5
5	5
7	7
5	5
5	5
8	8
5	5
5	5
5	5
5	5
5	5
5	5
5	7
7	7
7	7
5	5
5	5

[1095, 204, 26]
[50, 487, 85]
[0, 18, 44]
Testing Data
7	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	7
5	5
5	5
5	5
5	5
5	7
5	7
5	5
5	7
5	5
7	7
5	5
5	5
5	5
7	7
5	5
7	7
7	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
5	5
5	5
7	7
7	7
5	5
5	5
7	7
5	5
5	5
5	5
7	5
5	5
5	7
5	5
5	5
5	5
5	7
5	5
7	7
5	7
5	5
7	8
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	8
5	5
7	7
5	5
7	7
5	5
5	5
5	5
5	7
5	5
5	5
8	7
5	5
5	5
5	5
5	5
7	7
5	5
5	5
5	5
5	5
7	7
5	5
5	5
5	7
5	5
7	8
7	5
5	5
7	7
7	8
7	7
7	5
5	5
7	8
7	8
7	7
5	5
7	7
7	7
7	7
5	5
7	7
7	7
5	5
7	7
5	5
7	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	5
7	5
7	5
7	5
7	5
7	5
5	5
7	5
7	5
5	5
5	5
5	5
5	5
5	5
8	7
5	5
5	5
7	7
5	5
5	5
5	5
8	5
7	7
5	5
5	5
5	5
5	5
7	7
7	7
7	5
5	5
5	5
8	7
7	7
5	5
7	7
5	5
5	5
5	5
5	5
7	7
5	5
5	5
5	7
5	5
7	7
7	5
7	7
7	8
5	5
5	5
5	5
5	5
5	5
7	7
7	7
7	7
7	7
7	7
7	7
5	5
5	5
7	7
7	7
8	7
7	7
7	7
5	7
5	5
7	7
7	7
5	5
7	7
7	7
5	5
5	5
5	5
5	5
8	7
5	5
5	5
5	5
7	7
5	5
5	5
5	5
5	5
7	7
5	5
7	5
7	5
5	5
5	5
5	5
5	5
7	8
7	8
5	5
5	5
5	5
5	5
5	5
5	5
7	5
7	5
7	5
5	5
5	5
7	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	7
7	7
7	7
5	5
7	8
7	7
7	7
5	5
7	7
5	5
5	5
5	5
5	7
5	5
5	5
5	5
8	5
8	5
8	5
8	5
8	5
8	5
8	5
8	5
8	5
7	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
7	7
5	5
7	8
7	7
7	8
7	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
5	5
5	5
5	7
5	5
5	5
5	5
5	5
5	5
5	5
5	8
5	5
5	5
5	5
5	7
7	8
5	5
5	5
5	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	7
5	5
5	5
5	5
5	5
5	5
5	7
7	5
7	5
7	5
7	7
5	5
5	7
5	5
7	7
7	7
7	8
7	7
5	5
7	7
5	7
7	7
5	5
7	7
5	5
5	5
5	5
5	5
7	7
5	5
7	8
7	7
5	5
7	7
7	7
5	5
7	7
7	5
7	7
5	5
5	5
7	5
7	7
7	7
7	5
5	5
5	5
5	5
7	8
5	5
7	7
7	7
7	7
7	7
7	7
5	5
7	7
7	7
5	5
7	7
7	7
5	5
5	5
5	5
7	7
7	7
7	7
5	5
5	5
7	5
5	5
7	5
7	7
7	7
5	5
5	5
7	7
7	7
7	7
7	7
5	7
5	5
5	5
7	7
5	5
5	7
5	5
5	5
5	7
7	8
7	8
7	8
7	5
7	7
8	5
8	7
7	5
5	5
7	7
5	5
5	5
5	5
7	5
8	8
8	8
5	5
5	5
7	7
7	7
5	5
7	7
7	7
8	5
7	7
5	5
5	5
7	7
5	5
7	8
5	5
7	7
5	5
5	5
7	7
5	5
7	7
5	5
7	7
5	5
5	5
7	5
5	5
5	5
5	7
5	7
5	5
7	8
5	5
7	7
5	5
7	7
5	5
5	5
5	5
7	8
7	5
5	5
5	5
5	5
7	5

[286, 34, 12]
[25, 115, 6]
[1, 22, 2]
Hidden Layer Node Weights
Node 0 weights:
[-1.707124393246928, -8.286735569124174, 18.501125404547214, 22.532192372742553, 14.966692214234959, 7.577027372610353, -22.07058325845829, 11.240813727973642, 15.098552114838448, -18.651111114449147, -7.754822788304987, -16.01827980181668]
Node 1 weights:
[-16.65671643454457, 14.568781729331201, -14.314602124933385, 21.94989380278902, -1.3858667884204727, 8.972676560716497, -17.089658682471118, 1.7758178251302998, -3.8799144281350504, -14.44291365385014, -4.253866646100773, 4.269051250792462]
Node 2 weights:
[-14.318853777131984, 29.915931014930617, 2.589131351194684, -2.62504884789915, 0.32738708754741375, 14.563451350647018, 17.12141044086624, 2.9531524828267623, -14.307359709230408, 9.012672861369778, -15.80238819829561, -11.14552587051159]
Node 3 weights:
[-0.8886809591747205, -1.920505933061801, 1.1508195093273395, -10.978438108009193, 1.7905241754042736, -8.24583045907011, -2.5332707779434185, -0.4372652493735442, 5.701606636912701, -10.475339061220598, 4.123907030479381, -0.3517596522383664]
Node 4 weights:
[-1.0370366455705236, -0.45313240051755443, -0.03386393557784278, -0.6742065188421963, 0.41933924290466046, -0.5196912443110411, -0.7305030021832329, -1.2885017333618092, -0.10448782635332873, -0.31629706037697464, 0.27133971355282804, -1.7278406743015486]
Node 5 weights:
[-5.949729666631486, -4.086383938609668, -4.1667913674618235, -4.320020138543998, 4.310169647791214, 8.464366144044574, -1.5189528368263343, 7.492882818476211, 6.272506397219323, -1.553171595018937, -8.24695639466445, -2.585088215840158]
Node 6 weights:
[-9.662560229046553, -5.095933899971782, -2.256836010719259, -13.532227993595821, 2.8280086386518777, -1.8721863999594741, -2.447730711600607, 6.885036967074087, 3.2992753468523186, -7.39180677421004, -10.83648142176756, 6.601182921808722]
Node 7 weights:
[2.024888689174019, -2.0572230322320295, 0.052158608301715675, -1.4170782946098344, -0.3852033203035433, 0.2952631057759767, -2.508271958455401, -1.3651226373313916, -3.3669790335865755, 2.4000452771141974, -3.026077101657099, -1.410528181517106]
Node 8 weights:
[-15.85416464622891, -15.854291448018822, 12.30968194465873, 10.112319324480554, 1.8057578425278322, -3.365269895042676, -2.9861658723379905, -11.006017641777934, -7.703007697999474, 1.3002478642352135, 4.777529333236713, 2.289994450402001]
Node 9 weights:
[-4.494161991466285, 3.3112960805855995, 2.0738201556060933, -4.692091207378251, -1.0658024874430858, -8.52962403805383, 18.412638766900937, 15.322451937867713, -5.968724888413407, -0.8094979940933836, -17.892304945681992, -1.2862954675987501]
Node 10 weights:
[-0.4211932518752873, -1.3144408901619695, -0.2710168075869138, -0.5276846631998909, -0.04993609839394157, -0.36565973766704685, -1.670831495638694, -1.534580722702087, 0.8225701379746495, -0.7673140505669533, 1.3370861886868497, -1.043781605382935]
Node 11 weights:
[4.662171006088368, 17.428876986540935, -12.32085869851996, -20.184318248877823, 13.481154804561982, -31.386292885526828, -10.994912106734077, 26.53457567255786, -11.236354688371287, 8.898881177036527, -7.2518462199737455, -1.5902987821966192]
Node 12 weights:
[0.24706249440863284, -34.90086683021859, -9.695125823124823, 8.992851759617182, 3.8815820829282965, -4.885669333434549, -0.8684521209328908, -6.851646371947112, 1.0707296154104056, -6.255448164253212, 7.090408076913946, 5.2321954988072035]
Node 13 weights:
[-12.51344803667673, -0.35911233002698045, 9.999794240943183, -19.130908798339966, -7.038623667944817, 3.429996761476121, 1.7001435986722386, -12.124705831353847, -4.829206060007798, -1.5907866249966516, 6.479453836673965, -0.33238718075186974]
Node 14 weights:
[-8.462832005379111, -0.8105574728769933, -10.948366398684318, 3.1878936289748645, -5.937664103448414, 19.33414466670978, -9.284469739602322, -12.905157572230417, -6.88577774655705, 11.002517200248386, 6.6727621121947385, -1.415063463713513]
Node 15 weights:
[-2.156501455313202, 5.824930723659126, -5.3460704244954655, 9.535690097031953, -5.874488731438539, -9.157534595134987, -4.50504720847764, 0.6532623504401563, 6.817379867727809, -0.6815421211514054, 5.193525391573733, -7.601368778855851]
Node 16 weights:
[-17.844374558648553, 19.33339880728804, 1.8283793133453146, 5.415305864796096, 2.208961617771653, 11.635605340994495, -4.35076707196504, -8.754754868966504, -5.42123930519134, -2.4569167345417258, 7.418684626770637, -7.991524625132167]
Node 17 weights:
[7.2080140587040304, -2.191414489443666, -3.789709443043558, -4.27131547002775, -1.8315280794453674, -0.9501096884367274, -6.461393547266515, 0.2019573231987947, -4.3520420812406515, 3.5980614474455046, -0.03800128888231069, -0.21858360720471603]
Node 18 weights:
[2.166349153865997, 4.608363150429799, -7.0166325850557625, 11.589973907600088, -19.444830289157483, 2.7862772212675315, 6.4626927244164625, -30.288757451070936, 19.05382128390118, 12.151831339719699, 2.619890035640673, -3.6446694977621332]
Node 19 weights:
[-2.1469214838518256, 13.835069509513932, -8.841454530489937, 3.30057163602363, -6.15084386123116, -2.722194502600668, 2.8226673319928923, -0.7447341191769616, -2.2111556190455492, 5.025102169483778, -3.1979303016282428, -0.42977752780077566]
Node 20 weights:
[-8.447765741312944, 13.724985863525351, -8.45664317477787, -14.198281555232246, -5.492707650993154, 2.8916087767531518, 5.71732046280365, 11.588631851057409, -17.288989300826792, -7.042413441143613, -10.45359601089573, 8.288248372017582]
Node 21 weights:
[-14.84409522651578, -24.53364789458925, -4.712786396506098, 8.980886690083008, 13.546527426075654, -7.97786583684875, 7.546516287845548, 16.518685482529712, 9.388019093002283, -12.387018118545342, -33.30015841620551, -1.162224304508793]
Node 22 weights:
[-4.059494355297781, -29.006467480244243, 15.4539165734579, 9.893553598594524, -2.7435343478084677, 17.410245093267907, -6.792796667356079, 1.455132369969257, -17.701496618555034, 1.9436405542809236, -12.693651268213138, 2.8298061726470216]
Node 23 weights:
[2.8395264874292607, -12.395710057787344, -9.855187840296995, 4.681061117743127, 12.99992250496238, 0.8649317783236466, -0.5273329775072261, 3.137808959641371, -2.168346369251646, -2.5540232462866754, -6.629776791369767, 0.3492698633688203]
Node 24 weights:
[-0.7298768676551618, 0.13528045856123497, 1.023741759732624, 5.893343021390668, -0.5894158891907134, -0.9908432997604613, 0.2868474424419804, -4.129335112885956, -5.728159179541515, -10.729606996992423, 3.532059135448037, -0.4833622546432884]
Output Layer Node Weights
Node 0 weights:
[11.04634452174011, 16.4299400769188, 10.108237751713713, 6.3923830081701025, -0.04837986775051262, 1.2077286944996826, 7.82395557524483, -0.6130377951102903, -12.720932222246033, 4.208898753894317, -0.571829416055803, 9.470542367050378, -7.922021362672592, -1.5618888873590517, -5.572197934442649, -5.684841426971096, -2.9493908025995506, -0.40066062421628656, -2.3606736394495407, -2.949034944615858, 10.823042238094146, -8.735728292025989, -8.153272252808442, -2.762237530817666, -6.012883785562841, 1.2242774493713775]
Node 1 weights:
[-12.749882373604143, -8.34566486538447, -12.343941524840988, -5.099943473996922, -0.8406048955593544, 0.9448375064461773, -8.958787928910876, 0.09716081741297578, -7.55121025309327, -3.1639676551376956, -1.5619571060210997, -8.559951251357326, 7.714383730532021, 6.750251872297294, -4.155756040684258, 3.9738880723929597, -9.984857068941189, 1.2795466520808878, 1.499845373961929, 2.4332293399624536, -7.260404273941529, 10.74948754238271, 7.850510002930534, -2.2219530147970725, 1.14084419148129, -0.9299046589942465]
Node 2 weights:
[5.379129811674708, -8.762371419998415, 0.320217898411664, -1.3311416717481166, -1.4249818288115166, -10.536418969365135, -4.576154182160772, -2.561865839023276, 13.513975641014842, -9.342390340720973, -2.1614978570935586, -2.611019667334134, -0.6573472886072577, -8.612954896870344, 7.233491478440683, -5.842960930193606, 11.970460118784382, -5.154246403503165, 2.013819130166885, -2.9571974742935567, -6.841228577065306, -2.1572305460373924, -3.676505753261216, 11.875407061074878, 4.291672217759539, -2.576563939402323]
